Timestamp,Sex,University,collage,Hour_fees,Grade,Year,Absence,teacher_interest,external_sources,Friends,Friends_Absence,Teams,University_Activities,Family_Issues
11/7/2023 22:54,M,HU,Information Technology,(45 - 80) JD,C,3,Yes,Yes,Yes,No,No,No,Yes,No
11/7/2023 22:59,M,HU,Information Technology,(45 - 80) JD,C,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/7/2023 23:59,M,ZUJ,Information Technology,(45 - 80) JD,A,2,No,No,No,No,Yes,No,No,No
11/8/2023 12:07,F,HU,Information Technology,(45 - 80) JD,C,3,Yes,Yes,Yes,Yes,No,No,Yes,Yes
11/8/2023 12:08,M,HU,Information Technology,(80+) JD,B,2,Yes,No,Yes,Yes,No,No,Yes,No
11/8/2023 12:14,F,HU,Information Technology,(45 - 80) JD,B,3,Yes,Yes,No,No,Yes,No,No,No
11/8/2023 12:16,M,HU,Information Technology,(80+) JD,C,3,No,No,Yes,No,Yes,No,No,No
11/8/2023 12:21,M,HU,Information Technology,(45 - 80) JD,B,3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
11/8/2023 12:21,F,HU,Information Technology,(45 - 80) JD,C,3,Yes,No,Yes,Yes,No,No,Yes,No
11/8/2023 12:21,M,HU,Information Technology,(80+) JD,C,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 12:21,F,HU,Information Technology,(45 - 80) JD,B,2,Yes,No,No,No,No,No,No,No
11/8/2023 12:22,F,HU,Information Technology,(45 - 80) JD,B,3,No,Yes,No,Yes,Yes,No,No,No
11/8/2023 12:22,M,HU,Information Technology,(45 - 80) JD,C,2,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 12:22,M,HU,Information Technology,(45 - 80) JD,C,3,Yes,Yes,No,No,Yes,No,No,No
11/8/2023 12:23,M,HU,Information Technology,(45 - 80) JD,C,3,Yes,Yes,No,No,Yes,No,Yes,No
11/8/2023 12:24,M,HU,Information Technology,(80+) JD,C,2,No,No,No,No,No,No,No,No
11/8/2023 12:25,M,HU,Information Technology,(80+) JD,B,3,Yes,Yes,No,No,Yes,No,No,No
11/8/2023 12:25,F,HU,Information Technology,(80+) JD,C,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No
11/8/2023 12:26,F,HU,Information Technology,(45 - 80) JD,A,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 12:27,F,HU,Information Technology,(45 - 80) JD,B,2,Yes,Yes,No,No,Yes,No,Yes,No
11/8/2023 12:27,F,HU,Information Technology,(45 - 80) JD,B,3,Yes,Yes,Yes,No,No,No,No,No
11/8/2023 12:27,F,HU,Information Technology,(45 - 80) JD,C,3,Yes,No,No,Yes,Yes,No,No,No
11/8/2023 12:29,F,HU,Science,(10 - 40) JD,B,3,Yes,No,Yes,No,No,No,Yes,No
11/8/2023 12:31,M,HU,Information Technology,(45 - 80) JD,A,3,Yes,Yes,Yes,No,No,No,No,No
11/8/2023 12:38,F,HU,Information Technology,(45 - 80) JD,B,3,No,No,No,No,No,No,Yes,No
11/8/2023 12:38,M,HU,Business,(10 - 40) JD,C,4,Yes,Yes,Yes,No,Yes,No,No,Yes
11/8/2023 12:39,F,HU,Information Technology,(45 - 80) JD,C,3,Yes,Yes,No,No,Yes,No,Yes,No
11/8/2023 12:43,M,HU,Information Technology,(45 - 80) JD,D,3,No,Yes,Yes,No,Yes,No,No,No
11/8/2023 12:43,F,HU,Educational Sciences,(10 - 40) JD,B,4,No,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 12:46,M,HU,Information Technology,(45 - 80) JD,B,3,No,Yes,Yes,No,Yes,No,No,No
11/8/2023 12:46,F,HU,Information Technology,(45 - 80) JD,C,4,Yes,Yes,Yes,No,No,No,No,Yes
11/8/2023 12:46,F,HU,Information Technology,(45 - 80) JD,B,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
11/8/2023 12:47,F,HU,Information Technology,(45 - 80) JD,A,4,Yes,Yes,Yes,Yes,No,No,No,No
11/8/2023 12:47,M,HU,Information Technology,(45 - 80) JD,B,3,Yes,Yes,No,No,Yes,No,No,Yes
11/8/2023 12:48,M,HU,Information Technology,(45 - 80) JD,B,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes
11/8/2023 12:49,F,HU,Engineering,(10 - 40) JD,B,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 12:50,M,ZUJ,Business,(10 - 40) JD,A,1,No,No,No,No,No,No,No,No
11/8/2023 12:51,M,ZUJ,Science,(45 - 80) JD,A,1,No,No,No,No,No,No,No,No
11/8/2023 12:51,M,ZUJ,Information Technology,(45 - 80) JD,C,2,Yes,No,Yes,Yes,Yes,No,Yes,No
11/8/2023 12:52,F,ZUJ,Information Technology,(45 - 80) JD,A,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 12:53,M,HU,Information Technology,(10 - 40) JD,A,4,No,No,No,No,No,No,No,No
11/8/2023 12:53,F,JU,Foreign Languages,(45 - 80) JD,B,3,No,Yes,No,No,No,No,No,No
11/8/2023 12:54,F,HU,Information Technology,(45 - 80) JD,B,3,Yes,No,Yes,Yes,Yes,No,No,No
11/8/2023 12:55,M,HU,Information Technology,(10 - 40) JD,B,3,Yes,Yes,Yes,No,Yes,No,No,Yes
11/8/2023 12:56,M,HU,Information Technology,(45 - 80) JD,C,3,Yes,Yes,Yes,No,No,No,No,No
11/8/2023 12:56,M,HU,Information Technology,(45 - 80) JD,B,3,Yes,No,Yes,No,No,Yes,No,Yes
11/8/2023 12:57,F,HU,Information Technology,(45 - 80) JD,C,4,Yes,No,No,No,Yes,No,Yes,No
11/8/2023 12:57,F,ZUJ,Rights,(10 - 40) JD,A,3,No,No,No,No,Yes,No,No,Yes
11/8/2023 12:58,F,HU,Childhood,(10 - 40) JD,B,4,No,Yes,No,No,No,No,No,No
11/8/2023 12:58,F,HU,Information Technology,(45 - 80) JD,B,3,Yes,Yes,Yes,No,Yes,No,No,No
11/8/2023 12:59,F,HU,Information Technology,(80+) JD,B,3,No,No,No,No,Yes,Yes,Yes,No
11/8/2023 12:59,F,ZUJ,Information Technology,(45 - 80) JD,A,1,No,No,No,No,Yes,No,No,Yes
11/8/2023 12:59,M,HU,Information Technology,(45 - 80) JD,C,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:00,F,HU,Educational Sciences,(10 - 40) JD,B,3,No,No,No,No,Yes,Yes,No,No
11/8/2023 13:00,F,HU,Information Technology,(45 - 80) JD,C,2,Yes,No,No,No,Yes,No,No,No
11/8/2023 13:01,F,JUST,Allied Medical Sciences,(45 - 80) JD,B,2,No,Yes,No,Yes,Yes,No,No,No
11/8/2023 13:01,F,HU,Information Technology,(45 - 80) JD,B,4,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:02,F,ZUJ,Rights,(45 - 80) JD,B,3,Yes,Yes,No,No,No,No,No,No
11/8/2023 13:02,F,HU,Information Technology,(80+) JD,C,2,Yes,Yes,Yes,Yes,No,No,No,No
11/8/2023 13:07,F,HU,Information Technology,(45 - 80) JD,B,3,No,No,No,Yes,No,Yes,No,No
11/8/2023 13:08,M,YU,Educational Sciences,(10 - 40) JD,B,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11/8/2023 13:09,M,JU,Business,(10 - 40) JD,B,1,No,No,No,No,No,No,No,No
11/8/2023 13:10,F,JUST,Allied Medical Sciences,(45 - 80) JD,B,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:11,M,HU,Engineering,(10 - 40) JD,B,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
11/8/2023 13:11,M,BAUM,Science,(45 - 80) JD,C,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:11,M,AAB,Business,(45 - 80) JD,B,3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11/8/2023 13:11,F,HU,Business,(45 - 80) JD,C,3,Yes,Yes,Yes,No,Yes,No,No,No
11/8/2023 13:11,M,JU,Engineering,(10 - 40) JD,B,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:12,M,HU,Business,(10 - 40) JD,C,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:12,M,AAB,Sharia,(45 - 80) JD,A,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11/8/2023 13:12,F,AAB,Business,(10 - 40) JD,C,2,Yes,Yes,Yes,Yes,Yes,No,No,Yes
11/8/2023 13:12,M,TTU,Science,(10 - 40) JD,C,3,Yes,No,No,Yes,Yes,No,No,No
11/8/2023 13:12,F,HU,Childhood,(10 - 40) JD,B,4,Yes,Yes,No,No,Yes,No,No,No
11/8/2023 13:12,M,JU,Business,(10 - 40) JD,D,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:12,F,HU,Allied Medical Sciences,(10 - 40) JD,C,2,No,Yes,No,No,Yes,No,No,Yes
11/8/2023 13:12,M,HU,Business,(10 - 40) JD,A,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
11/8/2023 13:13,F,AAB,Business,(10 - 40) JD,D,2,No,Yes,Yes,Yes,No,No,No,No
11/8/2023 13:13,F,AAB,Business,(10 - 40) JD,B,1,No,Yes,Yes,No,No,No,No,No
11/8/2023 13:13,F,BAUM,Information Technology,(45 - 80) JD,B,3,Yes,No,Yes,No,Yes,No,No,No
11/8/2023 13:13,M,HU,Information Technology,(45 - 80) JD,A,1,Yes,Yes,No,No,No,No,No,No
11/8/2023 13:13,F,HU,Business,(10 - 40) JD,A,3,Yes,No,No,No,Yes,No,No,No
11/8/2023 13:14,F,AAB,Foreign Languages,(10 - 40) JD,A,2,No,No,No,No,Yes,No,No,No
11/8/2023 13:14,F,HU,Business,(10 - 40) JD,A,2,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:14,F,HU,Engineering,(10 - 40) JD,B,1,Yes,Yes,No,No,No,No,No,No
11/8/2023 13:14,M,HU,Information Technology,(45 - 80) JD,C,2,Yes,Yes,No,No,Yes,No,Yes,No
11/8/2023 13:14,M,HU,Information Technology,(45 - 80) JD,D,3,Yes,Yes,Yes,No,Yes,No,No,Yes
11/8/2023 13:14,F,ZUJ,Pharmacy,(45 - 80) JD,A,5,No,No,Yes,Yes,Yes,No,No,Yes
11/8/2023 13:14,F,HU,Information Technology,(45 - 80) JD,C,2,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:14,F,JU,Foreign Languages,(10 - 40) JD,B,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:15,M,HU,Business,(10 - 40) JD,C,3,Yes,Yes,Yes,Yes,No,No,No,No
11/8/2023 13:15,F,HU,Business,(10 - 40) JD,D,2,No,Yes,No,No,No,No,No,No
11/8/2023 13:15,F,HU,Information Technology,(45 - 80) JD,B,2,Yes,Yes,Yes,Yes,No,Yes,Yes,No
11/8/2023 13:15,M,HU,Information Technology,(45 - 80) JD,B,3,Yes,No,Yes,No,No,No,No,No
11/8/2023 13:16,F,HU,Business,(10 - 40) JD,A,3,No,Yes,Yes,No,No,No,No,No
11/8/2023 13:16,F,HU,Business,(10 - 40) JD,D,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:16,M,HU,Engineering,(10 - 40) JD,B,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:16,M,ZUJ,Engineering,(80+) JD,B,5,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:16,F,HU,Engineering,(10 - 40) JD,B,1,No,Yes,No,No,No,Yes,No,No
11/8/2023 13:16,F,HU,Nursing,(45 - 80) JD,B,2,Yes,Yes,No,Yes,Yes,No,No,Yes
11/8/2023 13:16,F,HU,Business,(10 - 40) JD,B,3,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:16,F,HU,Allied Medical Sciences,(10 - 40) JD,C,1,Yes,Yes,No,Yes,Yes,No,No,No
11/8/2023 13:16,F,BAUM,Business,(10 - 40) JD,B,4,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:17,M,HU,Business,(10 - 40) JD,C,3,Yes,Yes,No,Yes,No,No,No,No
11/8/2023 13:17,M,BAUM,Rights,(45 - 80) JD,C,2,Yes,Yes,No,Yes,No,No,No,No
11/8/2023 13:17,F,HU,Engineering,(45 - 80) JD,A,1,No,Yes,No,No,No,No,No,No
11/8/2023 13:18,F,AAB,Rights,(10 - 40) JD,A,1,No,Yes,No,Yes,Yes,No,Yes,Yes
11/8/2023 13:18,F,BAUM,Science,(10 - 40) JD,C,1,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:18,F,JUST,Dentistry,(80+) JD,B,2,No,No,No,No,Yes,Yes,No,No
11/8/2023 13:18,M,BAUM,Business,(45 - 80) JD,D,2,Yes,Yes,Yes,No,No,No,No,No
11/8/2023 13:18,F,HU,Engineering,(10 - 40) JD,B,1,No,No,No,No,Yes,No,Yes,No
11/8/2023 13:18,F,HU,Information Technology,(45 - 80) JD,A,1,No,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:19,F,HU,Business,(10 - 40) JD,A,1,No,Yes,No,Yes,No,No,Yes,No
11/8/2023 13:19,M,BAUM,Foreign Languages,(45 - 80) JD,B,2,No,Yes,No,Yes,No,No,Yes,No
11/8/2023 13:19,F,HU,Information Technology,(45 - 80) JD,B,1,Yes,Yes,No,No,Yes,No,No,No
11/8/2023 13:19,M,PSUT,Business,(80+) JD,C,3,No,Yes,No,No,Yes,No,No,No
11/8/2023 13:19,M,HU,Information Technology,(45 - 80) JD,B,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:19,F,HU,Business,(10 - 40) JD,D,4,Yes,Yes,No,No,No,No,No,Yes
11/8/2023 13:19,M,HU,Engineering,(10 - 40) JD,A,1,Yes,No,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:19,M,BAUM,Business,(10 - 40) JD,C,4,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:19,F,AAB,Nursing,(10 - 40) JD,C,2,Yes,No,Yes,Yes,Yes,No,No,No
11/8/2023 13:20,F,HU,Allied Medical Sciences,(10 - 40) JD,A,1,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:20,M,JUST,Medicine,(45 - 80) JD,B,1,No,Yes,Yes,No,Yes,No,No,No
11/8/2023 13:21,F,AAB,Business,(10 - 40) JD,D,2,Yes,No,No,Yes,Yes,No,No,No
11/8/2023 13:21,F,HU,Nursing,(10 - 40) JD,A,1,No,Yes,Yes,Yes,Yes,No,No,Yes
11/8/2023 13:21,F,YU,Nursing,(45 - 80) JD,C,1,No,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:21,F,HU,Business,(10 - 40) JD,B,3,Yes,No,Yes,No,No,No,No,No
11/8/2023 13:21,M,BAUM,Information Technology,(45 - 80) JD,C,3,Yes,Yes,Yes,No,Yes,No,No,No
11/8/2023 13:21,F,BAUM,Science,(45 - 80) JD,C,3,Yes,No,No,Yes,No,No,No,Yes
11/8/2023 13:22,F,AAB,Business,(10 - 40) JD,A,2,No,Yes,No,Yes,No,No,No,No
11/8/2023 13:22,M,HU,Information Technology,(45 - 80) JD,C,2,No,Yes,Yes,Yes,No,No,Yes,No
11/8/2023 13:22,M,HU,Information Technology,(45 - 80) JD,A,2,No,No,No,No,No,No,Yes,No
11/8/2023 13:22,F,HU,Business,(10 - 40) JD,B,2,No,Yes,No,No,No,No,No,No
11/8/2023 13:23,M,UOP,Business,(45 - 80) JD,B,3,Yes,Yes,No,Yes,Yes,No,No,No
11/8/2023 13:23,F,HU,Business,(10 - 40) JD,D,4,Yes,Yes,Yes,No,Yes,No,Yes,Yes
11/8/2023 13:23,F,HU,Science,(10 - 40) JD,C,2,Yes,Yes,Yes,No,No,Yes,Yes,No
11/8/2023 13:23,F,YU,Science,(10 - 40) JD,A,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes
11/8/2023 13:23,F,HU,Information Technology,(45 - 80) JD,D,3,No,No,No,No,Yes,No,No,No
11/8/2023 13:24,F,ZU,Information Technology,(10 - 40) JD,B,2,Yes,Yes,Yes,No,No,No,No,Yes
11/8/2023 13:24,F,AAB,Business,(10 - 40) JD,C,2,No,Yes,No,No,No,No,No,Yes
11/8/2023 13:24,F,HU,Engineering,(10 - 40) JD,A,1,No,Yes,No,No,No,No,No,No
11/8/2023 13:24,M,BAUM,Information Technology,(45 - 80) JD,B,2,Yes,No,Yes,Yes,Yes,No,No,No
11/8/2023 13:25,F,HU,Business,(10 - 40) JD,C,3,No,No,Yes,No,No,No,Yes,No
11/8/2023 13:25,F,HU,Natural Resources,(10 - 40) JD,B,2,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:25,F,BAUM,Business,(10 - 40) JD,C,3,Yes,Yes,No,No,Yes,No,No,No
11/8/2023 13:25,F,HU,Business,(10 - 40) JD,C,1,No,Yes,No,No,No,No,No,No
11/8/2023 13:25,F,HU,Business,(10 - 40) JD,B,4,Yes,Yes,Yes,No,Yes,No,No,No
11/8/2023 13:25,F,HU,Science,(10 - 40) JD,B,2,No,Yes,No,No,No,No,No,No
11/8/2023 13:25,M,BAUM,Information Technology,(45 - 80) JD,C,3,No,Yes,Yes,No,Yes,No,Yes,No
11/8/2023 13:26,F,HU,Science,(10 - 40) JD,A,1,Yes,No,No,No,Yes,No,Yes,Yes
11/8/2023 13:26,F,HU,Allied Medical Sciences,(10 - 40) JD,A,4,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:26,F,HU,Literature,(10 - 40) JD,B,1,No,Yes,No,No,Yes,No,Yes,No
11/8/2023 13:26,F,HU,Business,(10 - 40) JD,C,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No
11/8/2023 13:26,M,HU,Engineering,(10 - 40) JD,B,2,No,No,No,No,No,No,No,No
11/8/2023 13:27,F,BAUM,Science,(10 - 40) JD,A,1,No,Yes,Yes,No,Yes,No,No,No
11/8/2023 13:27,M,HU,Information Technology,(45 - 80) JD,B,3,No,Yes,Yes,Yes,No,No,No,No
11/8/2023 13:27,M,AAB,Business,(10 - 40) JD,B,4,No,Yes,No,No,No,No,No,No
11/8/2023 13:28,F,ZUJ,Nursing,(45 - 80) JD,B,1,No,Yes,Yes,Yes,No,No,No,No
11/8/2023 13:28,F,HU,Allied Medical Sciences,(10 - 40) JD,B,1,No,Yes,No,No,Yes,No,Yes,No
11/8/2023 13:28,F,HU,Allied Medical Sciences,(10 - 40) JD,A,1,Yes,No,No,No,No,No,No,No
11/8/2023 13:29,M,HU,Information Technology,(45 - 80) JD,C,3,No,Yes,No,No,No,No,No,No
11/8/2023 13:29,M,HU,Business,(10 - 40) JD,A,1,No,No,No,No,Yes,No,No,No
11/8/2023 13:29,M,HU,Information Technology,(45 - 80) JD,B,2,Yes,Yes,Yes,No,No,Yes,Yes,No
11/8/2023 13:30,M,HU,Engineering,(10 - 40) JD,A,2,Yes,Yes,Yes,No,Yes,Yes,Yes,No
11/8/2023 13:30,M,HU,Business,(10 - 40) JD,A,1,No,Yes,Yes,No,No,No,No,No
11/8/2023 13:30,M,AAB,Business,(10 - 40) JD,B,3,No,No,No,No,Yes,Yes,Yes,No
11/8/2023 13:30,M,HU,Information Technology,(45 - 80) JD,C,2,No,No,No,No,Yes,No,No,No
11/8/2023 13:30,F,HU,Science,(10 - 40) JD,A,1,No,Yes,No,No,Yes,No,Yes,No
11/8/2023 13:30,M,BAUM,Business,(10 - 40) JD,B,4,Yes,Yes,Yes,No,No,No,No,No
11/8/2023 13:30,M,HU,Information Technology,(80+) JD,B,3,Yes,No,No,No,Yes,No,No,No
11/8/2023 13:31,F,HU,Business,(10 - 40) JD,A,1,Yes,Yes,Yes,Yes,No,No,Yes,No
11/8/2023 13:32,M,HU,Information Technology,(45 - 80) JD,B,3,Yes,Yes,No,Yes,Yes,Yes,No,No
11/8/2023 13:32,M,HU,Information Technology,(45 - 80) JD,B,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
11/8/2023 13:32,F,HU,Science,(10 - 40) JD,A,1,Yes,Yes,No,Yes,Yes,No,Yes,No
11/8/2023 13:32,F,JU,Engineering,(80+) JD,B,2,Yes,Yes,Yes,Yes,Yes,No,No,No
11/8/2023 13:32,M,HU,Information Technology,(45 - 80) JD,C,2,Yes,No,Yes,No,Yes,No,No,No
11/8/2023 13:33,M,HU,Information Technology,(45 - 80) JD,B,2,Yes,Yes,Yes,Yes,No,Yes,No,No
11/8/2023 13:33,M,BAUM,Engineering,(10 - 40) JD,B,3,Yes,Yes,Yes,No,No,No,No,No
